# 1. NESSUNA VIRGOLA NELLA PRIMA STRINGA
# 2. Meglio nessuno spazio tra ogni insulto e descrizione

## Molise
'Ca t''puozza scap''collà','Che la tua testa si possa staccare dal collo';'May your head detach from the neck'
'Ca t''puozza venì la sciorda a ventaglio','Che ti possa venire la dissenteria';'May you get dysentery'
'Coccia ''r pruvulon','Testa di provolone (stupido)';'Provolone-cheese head (stupid)'
'Mo sigg''','Adesso riscuoti (ti meno)';'Now you get beaten'
'Muss ''r puorc','Muso di porco (brutto)';'Pig face (ugly)'
'Puozza ittà ru sang','Che tu possa sputare sangue';'May you spit blood'
'Vatt a r''pon','Vai via';'Go away'

## LOMBARDIA
'Balabiott','Nullafacente';'Lazy'
'Càsciabàll','Bugiardo';'Liar'
'Facia da cul de can da cacia','Faccia da culo come un cane da caccia';'Assface like a hound dog'
'Facia da tola','Faccia di latta (falso)';'Tin face (false)'
'Gratacù','Antipatico';'Unpleasant'
'Logia!','Puttana!';'Whore!'
'Ma va a ciapal in del lisca!','Ma vai a prenderlo in culo!';'Go get it in your ass'
'Mena no el turun!','Non parlare a vanvera!';'Don''t say stupid things'
'Pastrügnùn','Pasticcione';'Blunderer'
'Pelabrocch','Pulisci rami (buono a nulla)';'Tree branch cleaner (good for nothing)'
'Pulentatt','Polentone (lento)';'Polentone (slow)'
'Te ghè ciapà la vaca per i ball','Hai acchiappato la vacca per i testicoli (stai facendo un lavoro sbagliato)';'You grabbed the cow by the balls (you''re doing it wrong)'
'Te se propri un pirla!','Sei proprio un cretino';'You are so nitwit'
'Te se'' curiuus ''me ''l ma'' de ventar','Sei curioso come il mal di pancia';'You are curious like bellyache'
'Te se'' malà in duè te se'' petenat','Sei malato dove ti pettini (sei pazzo)';'You are sick where you comb yourself (you''re crazy)'
'Te se'' püsè föra d''un vas da gerani','Sei più fuori di un vaso di gerani (sei fuori come un balcone)';'You are more out of it than a flower jar (more out of it than a balcony)'
'Và a Bagg a sonà l''orghen','Vai alla chiesa di San Baggio a suonare l''organo (non c''è organo nella chiesa)';'Go to Baggio''s church and play the organ (there is no organ there)'
'Và a cà a fa rustì el lacc!','Vai a casa ad arrostire il latte!';'Go home and roast some milk!'
'Và a cà a petenà i gaenn!','Vai a casa a pettinare le galline!';'Go home and comb chickens!'
'Va a ciapà i ratt!','Vai ad acchiappare i topi! (vaffanculo)';'Go hunt rats'
'Va a dà via ''l cul!','Vai a donare il tuo culo! (vaffanculo)';'Go give away your ass'
'Và a scuà ''l mar!','Vai a pulire il mare!';'Go clean the sea'
'Va bèn a fèr dal pugnàt!','Vai a masturbarti';'Go wank yourself'

## PIEMONTE
'Ancutí','Ottuso';'Dull'
'Balengu','Cretino';'Nitwit'
'Betè','Idiota';'Idiot'
'Gadan','Stupido';'Stupid'
'Fòl','Stupido';'Stupid'
'Piciu','Testa di cazzo';'Dickhead'
'Tupin','Sei un contenitore di piscio';'Piss container'

## VENETO
'Bàsime i durèi','Baciami i testicoli';''
'Date cò un legno','Menati da solo con un pezzo di legno';''
'Ghe sboro','Ti getto il mio sperma contro';''
'Imatonìo','Sei un mattone (stupido)';''
'Imbecilon','Imbecille';''
'Increcoeà','Rincoglionito';''
'Magnasborae','Mangia sperma';''
'Ma ti gà e moròidi in testa?','Ma che hai gli emorroidi in testa? (faccia da culo)';''
'Ma ti ghe gà magnà ea merda al mago?','Che hai mangiato la merda del mago (hai detto una cosa scontata)';''
'Ma ti se sbregà','Che sei rotto? (qualcosa non va in te)';''
'Mòngoeo','Mongoloide';''
'Muso da mona','Faccia da vagina';''
'Om de boassa','Uomo di merda';''
'S-ciopà','Scoppiato';''
'Te vegno in torteìn', 'Ti vengo nel tortellino (il culo)';''
'Ti se scapeà?','Ti sei scapocciato? (sei fesso)';''
'Va in cùeo da to mare','Vai ad avere un rapporto sessuale anale con tua madre';''

## EMILIA-ROMAGNA
'At caz dal scavidi','Ti prendo a schiaffi';''
'At caz un manarvers ca''t fag zire pr''una stmèn','Ti do uno schiaffo che ti faccio girare per una settimana';''
'At cioud in te culeg','Ti chiudo in collegio';''
'At cmenz a dè du sciafun ala volta finchè in dvènta despar','Comincio a darti due schiaffoni alla volta finché non diventi dispari';''
'At dag un cargadour ad bòti','Ti carico di botte' ;''
'At dag un s-ciafon cut parrà e dè d pasqua','Ti do uno schiaffone che ti sembrerà pasqua';''
'At faz na bretta','Te ne faccio un berretto (te lo tiro in testa)';''
'At''si quèdar ''me la testa ''d ''n arsan!','Sei quadrato come la testa di un reggiano';''
'Cat viena al zamor','Che ti venga il cimurro';''
'Cat viena dù cancar ala volta finchè idventa dispar','Che ti vengano due cancri alla volta finchè diventino dispari';''
'Cat viena un mal che un cancar al sia un suliev','Che ti venga un male che un cancro sia un solliveo';''
'Cat viena un mal saltarin in una camara dal sufit bas','Che ti venga un male salterino in una camera dal soffitto basso';''
'Ci acsè svampei che t''coz','Sei così svampito che vai a sbattere con la testa';''
'Ci forra cum una bessa','Sei fuori come una biscia';''
'Ci fort c''mè l''aseda','Sei forte come l''aceto';''
'Ci furb, sol se chi-elt iè imbezel','Sei furbo solo se gli altri sono imbecilli';''
'Ci long cum la messa canteda','Sei lungo come la messa cantata';''
'Cì pez che ne la merda in te lét','Sei peggio della merda nel letto';''
'Ci propri un cucalon','Sei proprio un credulone';''
'Ci zonz c''me e baston de pulèr','Sei sporco come il bastone del pollaio';''
'Cu t''aves magnè la troia da znein','Che ti avesse mangiato la troia da piccolo';''
'Cu''t casches l''usel matera e u''t rimbalzes in the cul','Che ti caschi l''uccello in terra e ti rimbalzi in culo';''
'Cut s''ciupes una roda in curva','Che ti scoppi una ruota in curva';''
'Faza da cul da chèn da caza l''è piò bel e mi cul che la tu faza','Faccia da culo da cane da caccia è più bello il mio culo che la tua faccia';''
'Fis-ciaza','Spione';''
'Sat ciap a t''un dag cu ne sa nisoun','Se ti acchiappo te ne do che non lo sa nessuno';''
'Sat ciàp at scòurg da veiv','Se ti acchiappo ti scortico vivo';''
'Sat ciàp at stac un braz e at mèin sa quèl','Se ti acchiappo ti stacco un braccio e ti meno con quello';''
'Sel te la vaca in tla scheina?','Che hai una vacca sulla schiena? (sfaticato)';''
'Surdaz','Testone';''
'T''fe avni e lat m''i garet','Fai venire il latte alle caviglie';''
'T''fe schiv, loz e vargogna','Fai schifo, lordura e vergogna';''
'Tan ci propri nurmel sobit','Tu non sei proprio normale subito';''
'Te una testa com una mazola','Hai una testa come una mazzola';''
#'Te ona testa che sù la ià una mazola la s''afoga','Hai una testa che se ce l''ha una mazzola affoga';''
'Te ona testa che sù la ià un sardòn e và in muntagna','Hai una testa che se ce l''ha un sardone va in montagna';''
#'Tul in te sàc','Vai a prenderlo in culo';''
#'Va a fè al pugnetti valà','Vai a masturbarti';''
#'Va a fè di buchein mi chèn','Vai a fare i bocchini ai cani';''
'Va a scurzé en’te remal','Va a scoreggiare sulla crusca (vai via)';''
'Va'' bèn a fèr dal pugnàt!','Vai a masturbarti';''

## LIGURIA
'Bagassa','Troia';''
'Poscitu muì orbu','Che ti possa morire cieco';''
'Sussabelin','Rompiballe';''
'Ti t''é ciù brutto d''o bacco do pollà','Sei più sporco del bastone dell''aia';''
'Vanni a dà du cù','Vai a darci di culo';''

## TOSCANA
'Bellino sì...tu faresti gattare anche un cignale!','Sei così brutto che faresti vomitare anche un cinghiale!';''
'E te lo dò io i'' pane a fette!','Te lo do io il pane a fette! (sto per menarti)';''
'E te le lèo io le zecche di dòsso!','Te le tolgo io le zecche! (sto per menarti)';''
'Ma che ti lèi da'' i'' cazzo?!','Te ne vuoi andare?!';''
'Ma va'' a piallo n''culo!','Vai a prenderlo in culo!';''
'Sorti di fra'' i hoglioni!','Vai via';''

## LAZIO
'C''hai ''na sfiga tarmente granne che se te casca''r cazzo te rimbarza ''n culo!','Hai una sfiga cosí grande che se ti casca il cazzo ti rimbalza nel culo';''
'Che te potessero lancià contro 3 colpi... uno che te liscia uno che te pia e uno che stenne tu sorella...','Che ti possano lanciare 3 colpi... uno che ti liscia, uno che ti prende e uno che stende tua sorella';''
'Cuglio de puzzica!','Ti dai troppe arie (come una puzzola che mostra il culo)';''
'Me te metto ''n tasca e te meno quanno ciò tempo','Ti metto in tasca e ti meno quando ho tempo';''
'''n te sputo che t''amprofumo','Non ti sputo perchè ti improfumerei';''
'T''atteggi t''atteggi ma sur cazzo mio nun ce scureggi','Ti atteggi ma sul mio cazzo non ci scorreggi (non mi fai impressione)';''
'Te apro come ''na cozza','Ti apro come una cozza';''
'Te apro come ''na sdraio','Ti apro come una sedia sdraio';''
'Te ciancico e poi te sputo','Ti mastico e poi ti sputo';''
'Te do li schiaffi a due a due finchè nun diventeno dispari','Ti tiro schiaffi a due a due finchè non diventano dispari';''
'Te do mezz''ora de schiaffi in cinque minuti','Ti do mezz''ora di schiaffi in 5 minuti';''
'Te do ''n carcio ar culo che se per aria nun te porti da magnà te mori de fame','Ti do un calcio nel culo che se quando sei per aria non ti porti da mangiare ti muori di fame';''
'Te do ''na cricca sur petto che te ce faccio vení a nicchietta pe la madonna','Ti do un colpo in petto che ti faccio diventare come una nicchia per la madonna';''
'Te do ''na pizza che t''arestano pe'' vagabondaggio','Ti do uno schiaffo che ti arrestano per vagabondaggio';''
'Te faccio du'' occhi neri che se te metti a masticà er bambù er wwf te protegge','Ti faccio due occhi neri che se mastichi il bambù il wwf ti protegge';''
'Te giro come ''na trottola che quanno te fermi i vestiti sò passati de moda','Ti giro come una trottola che quando ti fermi i vestiti sono passati di moda';''
'Te gonfio come ''na zampogna','Ti gonfio come una zampogna';''
'Te metto ''n dito ''n bocca, uno ar culo e te sciacquo come ''na damiggiana','Ti metto un dito in bocca, uno in culo e ti sciacquo come una damigiana';''
'Te mischio come un mazzo de carte','Ti mischio come un mazzo di carte';''
'Te parcheggio ''na mano ''n faccia','Ti parcheggio una mano in faccia';''
'Te piglio pe'' li buchi der naso e t''aribbarto come li porpi','Ti prendo per i buchi del naso e ti ribalto come i polpi';''
'Te pijo pe ''na recchia e te sventolo come ''na bandierina','Ti prendo per un orecchio e ti sventolo come una bandierina';''
'Te pio pe'' le recchie e te arzo com a coppa uefa', 'Ti prendo per le orecchie e ti alzo come la coppa uefa';''
'Te ribarto come ''na cotoletta','Ti ribalto come una cotoletta';''
'Te rivolto come ''n carzino','Ti rivolto come un calzino';''
'Te sparecchio la faccia','Ti sparecchio la faccia';''
'Te strappo ''n braccio e te lo metto pè cravatta','Ti stacco un braccio e te lo metto addosso come cravatta';''
'Te succhio come ''n gamberetto','Ti succhio come un gamberetto';''

## UMBRIA
'Almeno te piasse la cacarella a zompi!','Almeno ti venga una cacarella ad oltranza';''
'Te pijasse un corbu! Ma anche un altro se no sberbichi','Ti prendesse un ictus! Ma anche un altro dall''altra parte altrimenti perdi l''equilibrio';''
'Te spojasse ''n trono e t''arvestisse n'' furmine','Che ti spogli un tuono e ti rivesta un fulmine';''

## MARCHE
'C''hai le fregne ''ntela testa','Hai vagine nella testa (te la tiri troppo)';''
'Lota!','Merda!';''
'M'' par'' na mutand'' staj siemp'' annanz'' o'' cazz''','Mi sembri una mutanda stai sempre tra le scatole';''
'Ma nun te vai a fa da ''ntel culo!?','Ma non vai a prenderlo in culo!?';''
'Sciacquate dai cojoni','Vai via dai coglioni';''
'Se te pio t''intreccio','Se ti prendo ti intreccio';''

## ABRUZZO
'Broccolò','Stupido';''
'Dondolò','Fesso';''
'Fatti ''ngulo','Vaffanculo';''
'Puzzi fà la fine deju cutturu, cò j''uncino ''ncanna e ju focu ''nculo','Che tu possa fare la fine della pecora alla cottora, con un uncino in gola e il fuoco in culo';''
'Puzza fà nu sbruff d sangh aal punt d lu cor!','Ti possa uscire il sangue dalla punta del cuore!';''
'Stordolò','Stupido';''
'Va a vedè se stengo ''npiazza','Vai a vedere se sono in piazza (vaffanculo)';''
'Vattela a pijà ''nsaccoccia','Vai a prendertelo in tasca (vaffanculo)';''

## CAMPANIA
'''a natura fa brutti scherze, a te te pigliate proprio po'' ''o culo!','La natura fa brutti scherzi, a te ti ha preso proprio per culo!';''
'Accattate na valigia chiena e cazze tuoi','Comprati una valigia piena di fatti tuoi';''
'Cac''t ''mman ''e fa comm''agli indian!','Cacati in mano e fai il verso degli indiani!';''
'Cap ''e cazzo','Testa di cazzo';''
'Ce fatto a'' uallera a'' pizzaiola','Ci hai cosí rotto i coglioni che sono come alla pizzaiola';''
'Ma quanne sí nato tu, mammeta ha rotto le acque o tiraie a catena?','Ma quando sei nato tu, tua madre ha rotto le acque o tirato la catena?';''
'Meno male che nu tiene ''e palle, accussí nu currimme ''o rischio e truvà ati strunze comme a te','Meno male che non hai le palle, cosí non corriamo il rischio di trovare altri stronzi come te';''
'Nu piglià assai sole sta stagione, ''o sole assecche e strunze','Non prendere troppo sole questa estate, il sole secca gli stronzi';''
'Pereta senza rummore','Scoreggia senza rumore';''
'Quanne me sente na meza chiavica, penso a te e mi ripiglio subbete','Quando mi sento una nullità penso a te e mi riprendo subito';''
'Quanno veco a te, capisco è nu munno ''e merda','Quando ti vedo capisco che è un mondo di merda';''
'Si a scumma rimasta n''coppo ''o penniello doppo che ''o nonno s''è fatta ''a barba','Sei la schiuma rimasta sul pennello dopo che il nonno si è fatto la barba';''
'Si accussí bello ca si faciss nu pireto m''o zucass!','Sei cosí bello che se facessi una scorreggia me la risucchierei!';''
'Si accussí curnute, che ''o cervo se vò suicidà!','Sei cosí cornuto che il cervo si vuole suicidare';''
'Si comme a nu criature annanze all''albero e natale, rumpe e palle in continuazione','Sei come un bambino di fronte ad un albero di natale, rompi sempre le palle';''
'Si comme a nu pertuso int''a sacca do calzon, sierv sul pe me fa ''na rattata ''e palle','Sei come il buco nella tasca dei pantaloni, che serve solo a farmi grattare le palle';''
'Si comme a raccolta differenziata, nu bidone e munnezza','Sei come la raccolta differenziata, un bidone di immondizia';''
'Si t''acchiappo inte e mane ''o piezzo cchiù gruosso adda essere ''a recchia','Se ti acchiappo il pezzo più grosso che rimarrà di te è l''orecchio';''
'Si talmente sfurtunate che si se ne care ''o cazzo ti rimbalza into ''o culo','Sei cosí sfortunato che se se ne cade il cazzo ti rimbalza nel culo';''
'Te giro e corne ca tieni e te porto comme a na lambretta','Ti giro le corna che hai e ti guido come una Lambretta';''
'Te manno a fa n''culo cu nu biglietto di sola andata','Ti mando a quel paese con un biglietto di sola andata';''
'Te metto nu dito n''culo e nato mocca e te sciacquo comme a na buttiglia','Ti metto un dito in culo ed un altro in bocca, e ti sciacquo come una bottiglia';''
'Te pense sempe inta a jurnata, ma mo'' scusame m''aggia pulizzà o culo!','Ti penso sempre durante la giornata, ma adesso scusami devo pulirmi il culo!';''
'Ti esce na puzza de rrecchie, se vede che tiene ''na capa e merda!','Ti esce una puzza dalla orecchie, si vede che hai la merda in testa!';''
'Tiene tanta lentiggini che pare che ti hanno tirato n''faccia a merda ca zanzariera','Hai cosí tante lentiggini che sembra ti abbiano tirato la merda in faccia con una zanzariera';''
'Tu me daie tante energia che mi fai girà e palle','Mi dai cosí tanta energia che mi fai girare i testicoli';''
'Tu si comme a nu cane da neve n''husky-fezza','Sei come un cane da neve un husky-fezza';''

## PUGLIA
'Cagammèrd','Cacasotto/Sfaticato';''
'Calandron','Tontolone';''
'Calascion','Tontolone';''
'Capacchion','Testardo/ingenuo';''
'Chèp d chiumm','Testa di piombo (testardo o sciocco)';''
'Chin d serchje','Testa di luridume (incompetente o sciocco)';''
'Chin d siv','Testa piena di grasso (non sei affidabile)';''
'Ciò-Ciò','Parli molto ma concludi poco';''
'Faccje d ciol','Faccia da cazzo';''
'Faccje du trè d baston','Faccia da tre di bastoni (brutto)';''
'Maladesegrazjedegghiavè','Che tu possa avere una disgrazia';''
'''mbamon','Infamone';''
'''nghjemmon','Ottuso';''
'Lurd','Lordo';''
'Recchje d gomm','Orecchie di gomma (a sventola)';''
'Trmon','Sega (stolto)';''
'Uàuà','Parli troppo ma concludi poco';''
'Vaiass','Barbaro';''

## CALABRIA
'nd''hai chiù corna i nu panaru i bucalaci','Hai più corna di un cesto di lumache';''
'piazz i merda','pezzo di merda';'pieace of shit'
'sì propriu na ciota','sei proprio scemo';''

## SICILIA
'Animale eggebbia','Animale che beve dall''abbeveratorio (sempliciotto)';''
'Maccarrune','Deficiente';''
'''nchiappafico','stupido';''
'Rusica ossa','Insensibile';''
'Spennagalletti','spenna galli (nullafacente)';''

## SARDEGNA
'Coddaproccusu!','Hai rapporti sessuali con i suini';''
'Cravadinci in su cunnu!','Infilati con forza in una vagina';''
'Minc''e cuaddu ti coddidi!','Che un pene equino ti forzi ad avere rapporti sessuali!';''
'Taccappiu i spius de concas ai spius de cullu','Ti lego i capelli della testa ai peli del culo';''


